classification	rab.all	rab.win.Visit1	rab.win.Visit3	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus aceti	-0.313045867851264	0.683542770821383	-1.07126339531959	-2.07166318653586	5.86335451939921	-0.353323883057327	0.350543484572854	0.0291221119292691	1	0.147130481413321	0.963268678153624
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter segnis	0.0725085106530354	-0.0523088625650097	0.215604584663609	-0.283749569527787	3.59308113345768	-0.0789711000081789	0.465716226713325	0.808697458640237	1	0.807636477605803	1
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp000436615	-0.801469133913589	-0.80480082595275	-0.797952885463872	0.0696031901940124	4.31869394372878	0.0161167221157415	0.493206522000452	0.662634135565002	1	0.755637870955334	1
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Aristaeellaceae;g__UBA11524;s__UBA11524 sp000437595	-0.0280074510212209	0.189401460866613	-0.221611596803099	-0.417687128652767	4.69645650481601	-0.0889366543104248	0.453125001818772	0.725499038179596	1	0.694585273229211	1
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900545495	-0.718515224614434	-0.745867323244536	-0.665858018787141	-0.0330317764049806	3.71680100576255	-0.00888715224564562	0.497623896900495	0.663046000783137	1	0.709603114072309	1
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	2.03864892441803	19.0555829637075	0.669105723236763	-1.18688672540866	3.87761759490747	-0.306086584444897	0.309103269464148	0.144522239097896	1	0.177682063452984	1
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	0.147375071971657	0.0353866760186463	0.263098921508872	0.330416837522835	6.51112164817386	0.0507465311472878	0.47554347920371	0.599489835352875	1	0.698053011541051	1
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A crossotus	-0.186364344057109	-0.231777786784976	-0.0861512106104918	0.22578788551253	4.02158608645455	0.0561439891273309	0.454854041123608	0.557869429479537	1	0.658449436837683	1
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira pectinoschiza_A	-0.370450721034839	-0.236843982404208	-0.511985915191859	-1.04426495693161	6.26621221500631	-0.166650110321959	0.436141306844522	0.688963807161069	1	0.672342037099124	1
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	1.21862015690662	1.293532619989	1.16392609123702	-0.447898186832573	3.03895689327889	-0.147385501855313	0.41168478611463	0.88335040261172	1	0.785703262560027	1
